season,league_indicator,conference_id,conference_display,division_id,division_display,team_id,is_division_champion,is_conference_champion,notes
1966,N,NFLWC,NFL Western Conference,,,GP020,0,1,
1966,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1966,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1966,A,,,AFCE,AFL East,HO099,0,0,
1966,A,,,AFCE,AFL East,NJ110,0,0,
1966,A,,,AFCE,AFL East,BB101,1,0,
1966,A,,,AFCE,AFL East,BP102,0,0,
1966,A,,,AFCE,AFL East,MD111,0,0,
1966,A,,,AFCW,AFL West,SC107,0,0,
1966,A,,,AFCW,AFL West,KC109,1,0,
1966,A,,,AFCW,AFL West,OR105,0,0,
1966,A,,,AFCW,AFL West,DB106,0,0,
1967,N,NFLEC,NFL Eastern Confrence,NFCE,NFL Eastern Capitol,DC098,1,1,
1967,N,NFLEC,NFL Eastern Confrence,NFCE,NFL Eastern Capitol,PE066,0,0,
1967,N,NFLEC,NFL Eastern Confrence,NFCE,NFL Eastern Capitol,WR071,0,0,
1967,N,NFLEC,NFL Eastern Confrence,NFCE,NFL Eastern Capitol,NS113,0,0,
1967,N,NFLEC,NFL Eastern Confrence,NFCC,NFL Eastern Century,CB085,1,0,
